Requirement,Label,Reason,Corrected_Requirement
The system shall provide good error handling.,YES,"The phrase 'good error handling' is subjective. It lacks specific requirements for the user experience during errors (e.g., logging, recovery options).","The system shall log all non-fatal application errors to a centralized monitoring service (e.g., Splunk) with severity, timestamp, and stack trace, and notify the user with a specific, actionable error code."
The UI elements should be positioned correctly.,YES,The adverb 'correctly' is subjective and not measurable. It needs specific layout constraints or design specs.,All UI elements shall align with the 8-pixel grid system defined in the 'Project Apollo' design specification v1.2.
The reports must contain necessary fields.,YES,The phrase 'necessary fields' is ambiguous. It does not explicitly list the required data elements for the reports.,"The 'Quarterly Sales Summary' report shall contain exactly 12 fields, including: Total Revenue, Gross Margin, Top [INSERT_NUMBER] , and Regional Breakdown."
The application must be accessible to everyone.,YES,"The phrase 'accessible to everyone' is non-specific. It must reference a defined, testable accessibility standard.",The application shall comply with Section [INSERT_VALUE] of the Rehabilitation Act and WCAG 2.1 Level AA standards.
The API must protect customer data properly.,YES,"The adverb 'properly' is vague. It lacks specific requirements for data masking, encryption, or access policies.","The API shall mask the full credit card number in all logs and internal displays, showing only the last 4 digits."
The configuration file should be simple.,YES,The adjective 'simple' is subjective. It needs measurable criteria like file size or number of parameters.,"The primary configuration file shall contain no more than 30 unique, non-nested configuration parameters."
The network latency should be minimal.,YES,"The term 'minimal' is non-quantifiable. It lacks a specific, acceptable upper limit for network latency.",The end-to-end network latency between the user's browser and the main server shall not exceed [INSERT_TIME].
The system must offer sufficient auditing capabilities.,YES,"The phrase 'sufficient auditing capabilities' is vague. It lacks specific requirements for which events are logged, retention, or report generation.","The system shall log all privilege escalation attempts, successful user logins, and data exports, retaining these records for 3 years in a tamper-proof repository."
The system should be easy to debug.,YES,"The phrase 'easy to debug' is subjective. It lacks specific requirements for logging detail, error handling, or tracing mechanisms.",The system shall utilize OpenTelemetry standards for distributed tracing and achieve a mean time to detection (MTTD) of critical bugs under [INSERT_TIME].
The API shall return a meaningful status code for all requests.,YES,"The word 'meaningful' is subjective. It needs specific requirements for which HTTP status codes (e.g., 200, 404, 500) map to which API outcomes.","The API shall strictly adhere to RFC [INSERT_VALUE] HTTP status code definitions, specifically returning [INSERT_VALUE] for resource creation and [INSERT_VALUE] for resource conflict."
The application must run smoothly.,YES,The adverb 'smoothly' is subjective. It lacks measurable criteria for frame rate or responsiveness during animations or transitions.,The application shall render all UI animations and scrolling at a minimum frame rate of 60 frames per second (FPS).
The code must be reusable.,YES,The term 'reusable' is vague. It lacks specific metrics like component modularity or adherence to established design patterns.,All core business logic shall be encapsulated in libraries that achieve a minimum component coupling index of 0.7 or less.
The payment system should be secure enough.,YES,"The phrase 'secure enough' is vague. It lacks a specific, testable security standard or compliance level.",The payment system shall be fully compliant with the Payment Card Industry Data Security Standard (PCI DSS) 4.0.
The system should provide a lot of functionality.,YES,The phrase 'a lot of functionality' is ambiguous. It doesn't list the required features or user stories.,The system shall implement all 54 approved user stories defined in the 'Q3 [INSERT_VALUE] Scope' document.
The system must prevent common vulnerabilities.,YES,"The phrase 'common vulnerabilities' is vague. It lacks a specific list of vulnerabilities to be mitigated (e.g., injection, cross-site scripting).",The system shall prevent all vulnerabilities listed in the OWASP Top 10 ([INSERT_VALUE]) through automated code scanning and mandatory peer review.
The database should be fast enough.,YES,The phrase 'fast enough' is vague. It lacks a specific metric for query response time or throughput.,All database read queries classified as 'High Priority' shall execute in less than [INSERT_TIME].
The system shall offer a comprehensive user guide.,YES,The term 'comprehensive' is subjective. It needs specific requirements for the depth and breadth of the guide's content.,The user guide shall include tutorials for all 10 primary user workflows and a glossary of 50 technical terms.
